"number","name","atlas_reference_count","coverage_status","centroid_munsell"
1,"Vivid Pink",4,"REPRESENTED","1.5R 7/13"
2,"Strong Pink",17,"REPRESENTED","1.5R 7.5/9.1"
3,"Deep Pink",54,"REPRESENTED","1.9R 6.0/11.1"
4,"Light Pink",9,"REPRESENTED","2.5R 8.6/5.2"
5,"Moderate Pink",44,"REPRESENTED","2.5R 7.2/5.2"
6,"Dark Pink",14,"REPRESENTED","2.5R 6.0/6.0"
7,"Pale Pink",16,"REPRESENTED","2.5R 8.8/2.3"
8,"Grayish Pink",12,"REPRESENTED","2.5R 7.2/2.3"
9,"Pinkish White",7,"REPRESENTED","7.6R 9.2/1.0"
10,"Pinkish Gray",34,"REPRESENTED","7.6R 7.5/1.0"
11,"Vivid Red",99,"REPRESENTED","5R 4/15"
12,"Strong Red",30,"REPRESENTED","4.0R 4.5/12.0"
13,"Deep Red",26,"REPRESENTED","5.0R 2.8/9.9"
14,"Very Deep Red",10,"REPRESENTED","5.0R 1.4/9.0"
15,"Moderate Red",58,"REPRESENTED","4.0R 4.5/9.1"
16,"Dark Red",64,"REPRESENTED","4.5R 2.8/6.8"
17,"Very Dark Red",30,"REPRESENTED","3.5R 1.2/4.9"
18,"Light Grayish Red",29,"REPRESENTED","4.9R 6.0/3.4"
19,"Grayish Red",91,"REPRESENTED","4.6R 4.5/4.7"
20,"Dark Grayish Red",20,"REPRESENTED","3.5R 2.7/2.2"
21,"Blackish Red",12,"REPRESENTED","3.5R 1.1/1.6"
22,"Reddish Gray",24,"REPRESENTED","6.5R 5.5/1.1"
23,"Dark Reddish Gray",20,"REPRESENTED","6.0R 3.5/1.1"
24,"Reddish Black",21,"REPRESENTED","6.0R 0.9/0.8"
25,"Vivid Yellowish Pink",14,"REPRESENTED","8.0R 7/13"
26,"Strong Yellowish Pink",46,"REPRESENTED","8.0R 7.5/9.0"
27,"Deep Yellowish Pink",20,"REPRESENTED","5.6R 6.0/12.4"
28,"Light Yellowish Pink",25,"REPRESENTED","0.7YR 8.6/4.8"
29,"Moderate Yellowish Pink",82,"REPRESENTED","0.7YR 7.2/4.8"
30,"Dark Yellowish Pink",8,"REPRESENTED","7.0R 6.0/6.0"
31,"Pale Yellowish Pink",28,"REPRESENTED","2.1YR 8.8/2.2"
32,"Grayish Yellowish Pink",28,"REPRESENTED","0.5YR 7.2/2.3"
33,"Brownish Pink",12,"REPRESENTED","6.5YR 7.2/2.2"
34,"Vivid Reddish Orange",95,"REPRESENTED","9.5R 5.5/15.5"
35,"Strong Reddish Orange",31,"REPRESENTED","9.5R 5.5/12.0"
36,"Deep Reddish Orange",18,"REPRESENTED","9.5R 4.0/12.0"
37,"Moderate Reddish Orange",61,"REPRESENTED","9.5R 5.5/9.1"
38,"Dark Reddish Orange",29,"REPRESENTED","9.5R 4.0/9.1"
39,"Grayish Reddish Orange",30,"REPRESENTED","0.5YR 5.5/6.0"
40,"Strong Reddish Brown",22,"REPRESENTED","0.5YR 3.0/11.2"
41,"Deep Reddish Brown",32,"REPRESENTED","9.8R 1.5/7.5"
42,"Light Reddish Brown",26,"REPRESENTED","0.5YR 5.5/4.1"
43,"Moderate Reddish Brown",61,"REPRESENTED","9.6R 3.4/5.2"
44,"Dark Reddish Brown",55,"REPRESENTED","9.5R 1.3/3.6"
45,"Light Grayish Reddish Brown",23,"REPRESENTED","3.0YR 5.5/2.3"
46,"Grayish Reddish Brown",27,"REPRESENTED","9.9R 3.4/2.3"
47,"Dark Grayish Reddish Brown",25,"REPRESENTED","9.5R 2.0/2.0"
48,"Vivid Orange",34,"REPRESENTED","4.5YR 6.6/16"
49,"Brilliant Orange",2,"REPRESENTED","4.5YR 8.0/12.1"
50,"Strong Orange",56,"REPRESENTED","4.5YR 6.5/12.1"
51,"Deep Orange",24,"REPRESENTED","4.5YR 5.0/12.1"
52,"Light Orange",17,"REPRESENTED","4.5YR 8/8.1"
53,"Moderate Orange",59,"REPRESENTED","4.6YR 6.5/8.1"
54,"Brownish Orange",26,"REPRESENTED","4.5YR 5.0/8.2"
55,"Strong Brown",84,"REPRESENTED","5.0YR 3.5/8"
56,"Deep Brown",13,"REPRESENTED","5.0YR 2.1/6"
57,"Light Brown",49,"REPRESENTED","5.5YR 5.5/4.6"
58,"Moderate Brown",35,"REPRESENTED","5.5YR 3.5/3.9"
59,"Dark Brown",41,"REPRESENTED","5.5YR 1.6/3.6"
60,"Light Grayish Brown",12,"REPRESENTED","6.5YR 5.5/2.2"
61,"Grayish Brown",26,"REPRESENTED","5.6YR 3.5/2.0"
62,"Dark Grayish Brown",16,"REPRESENTED","5.5YR 2.0/1.7"
63,"Light Brownish Gray",29,"REPRESENTED","6.8YR 5.5/1.0"
64,"Brownish Gray",36,"REPRESENTED","6.4YR 3.5/0.9"
65,"Brownish Black",28,"REPRESENTED","7.5YR 0.8/0.8"
66,"Vivid Orange Yellow",11,"REPRESENTED","9.0YR 7.2/16"
67,"Brilliant Orange Yellow",0,"DEFINED_NOT_SAMPLED","9.0YR 8.4/12.1"
68,"Strong Orange Yellow",30,"REPRESENTED","9.0YR 7.2/12.1"
